SGSIM SIMULATIONS:                      
 2
Simulated Value                         
Back Transform                          
  1.3900   0.9226
 -0.1070   0.4624
  0.8602   0.8102
 -1.1173   0.1370
  1.6446   0.9548
 -0.7425   0.2339
  1.0260   0.8525
 -2.0886   0.0239
 -0.5691   0.2897
  0.3342   0.6359
  1.0318   0.8539
 -0.3350   0.3738
  0.6318   0.7412
  0.1263   0.5553
  2.7117   1.0000
 -0.9240   0.1828
  0.4867   0.6918
 -2.1244   0.0222
 -1.6392   0.0558
  1.2541   0.9001
  0.4033   0.6616
  0.1675   0.5715
 -0.2255   0.4158
 -0.1915   0.4291
  0.8517   0.8078
 -0.8332   0.2074
  0.4096   0.6639
 -1.6205   0.0577
 -1.0397   0.1543
 -0.0581   0.4818
  0.0946   0.5427
 -0.7358   0.2360
 -0.1890   0.4300
  0.0725   0.5339
  0.7828   0.7881
  0.0364   0.5195
 -1.2416   0.1123
 -0.7643   0.2274
 -2.1944   0.0194
  0.1857   0.5787
  0.4015   0.6610
  0.1540   0.5662
  0.7203   0.7693
  0.7379   0.7747
  0.5349   0.7086
  0.5731   0.7217
 -0.7682   0.2262
 -0.7228   0.2399
 -1.5569   0.0649
  0.0629   0.5301
 -0.7035   0.2459
 -0.8672   0.1979
  0.3699   0.6493
 -0.1908   0.4293
 -0.0060   0.5026
  1.1287   0.8754
  0.1056   0.5471
 -0.8868   0.1926
 -2.3614   0.0153
 -0.1020   0.4644
 -1.6835   0.0512
 -0.6293   0.2696
  0.8447   0.8058
  0.8166   0.7979
  1.1279   0.8753
  1.4256   0.9279
  0.1129   0.5500
  0.2777   0.6144
 -1.2572   0.1094
  0.0943   0.5426
 -1.5286   0.0683
 -0.6892   0.2503
  0.8387   0.8041
  0.6335   0.7418
  0.9567   0.8356
  0.3816   0.6536
  0.1118   0.5495
  0.5467   0.7127
 -1.1483   0.1304
 -0.2848   0.3929
 -2.1872   0.0196
 -1.0365   0.1550
  0.7944   0.7915
  1.4431   0.9305
  0.1071   0.5477
  0.2692   0.6111
  0.3141   0.6283
  0.2031   0.5855
 -1.9049   0.0337
  0.2230   0.5932
 -2.2698   0.0175
 -0.8317   0.2078
  0.9043   0.8220
  0.4306   0.6716
  0.5714   0.7211
  0.6666   0.7525
  0.0490   0.5245
 -0.6105   0.2758
 -2.8386   0.0045
  0.2420   0.6006
  1.2135   0.8925
  1.3392   0.9146
 -0.4842   0.3191
  0.3086   0.6262
  1.4629   0.9331
 -0.1774   0.4346
 -1.6018   0.0596
  0.1814   0.5770
 -1.4981   0.0721
 -1.4868   0.0737
  0.7371   0.7744
  0.2355   0.5981
  0.5768   0.7229
  0.1916   0.5810
  0.7496   0.7782
 -0.9966   0.1645
 -1.5643   0.0640
  0.4697   0.6857
 -1.1544   0.1292
 -0.9035   0.1882
  0.7669   0.7834
  0.4589   0.6818
 -0.5460   0.2975
  0.5568   0.7161
  1.7215   0.9622
 -1.0042   0.1627
 -1.5878   0.0612
  0.5664   0.7194
 -1.4714   0.0757
 -0.8067   0.2150
  1.1072   0.8709
  1.5318   0.9421
 -0.8233   0.2102
  0.7197   0.7691
  0.7639   0.7825
 -0.9928   0.1655
 -0.9272   0.1819
 -0.6841   0.2520
 -0.5377   0.3004
 -0.9761   0.1695
  1.9954   0.9817
  0.7441   0.7766
 -0.1022   0.4643
  0.5450   0.7121
  0.3710   0.6497
 -1.4880   0.0735
 -0.4099   0.3460
 -0.1222   0.4564
  0.2721   0.6122
 -0.4957   0.3151
  2.0729   0.9854
