    0.22288E+01    0.31904E+00    0.21303E+01    0.11580E+00
    0.26315E+01    0.51786E+00    0.22014E+01    0.12120E+00
    0.11571E+01    0.60980E+00    0.63281E+00    0.12398E+00
    0.17958E+01    0.78552E+00    0.23823E+01    0.12440E+00
    0.44441E+00    0.27727E+01    0.20341E+01    0.11917E+00
    0.17658E+01    0.13923E+01    0.26896E+00    0.11656E+00
    0.21855E+01    0.97407E+00    0.14201E+01    0.12556E+00
    0.53083E-01    0.36544E+00    0.22350E+01    0.12858E+00
    0.17562E+01    0.13828E+01    0.85389E+00    0.12717E+00
    0.21670E+01    0.61261E+00    0.18308E+01    0.12115E+00
    0.17542E+01    0.11077E+01    0.25658E+01    0.12234E+00
    0.82434E+00    0.22769E+01    0.14158E+01    0.13518E+00
    0.13468E+01    0.75509E+00    0.25566E+01    0.11731E+00
    0.52975E+00    0.11311E+01    0.16435E+01    0.11505E+00
    0.27371E+01    0.29089E+01    0.42686E+00    0.11557E+00
    0.40118E+00    0.19597E+01    0.58615E+00    0.12229E+00
    0.22632E+01    0.26701E-01    0.29021E+01    0.11647E+00
    0.22172E+01    0.16701E+01    0.18451E+01    0.11252E+00
    0.26439E+00    0.60084E+00    0.19590E+01    0.12091E+00
    0.11608E+01    0.21094E+01    0.96917E+00    0.11849E+00
    0.21607E+01    0.14700E+01    0.23825E+01    0.11275E+00
    0.29403E+00    0.20609E+01    0.16152E+01    0.12747E+00
    0.31436E+00    0.28564E+01    0.10999E+01    0.11699E+00
    0.45423E+00    0.27129E+01    0.88998E+00    0.12254E+00
    0.17159E+01    0.52870E+00    0.12438E+01    0.11440E+00
    0.26659E+01    0.18738E+01    0.15122E+01    0.11121E+00
    0.48622E+00    0.77028E+00    0.19207E+01    0.12177E+00
    0.26224E+01    0.11902E+01    0.24670E+01    0.12019E+00
    0.10507E+01    0.28535E+01    0.49616E+00    0.12014E+00
    0.17315E+01    0.21014E+01    0.23457E+01    0.10784E+00
    0.24558E+01    0.29226E+01    0.25648E+01    0.11761E+00
    0.81287E+00    0.29346E+01    0.27369E+01    0.12081E+00
    0.22282E+01    0.24974E+01    0.15340E-01    0.12497E+00
    0.12305E+01    0.12400E+01    0.26003E+01    0.13591E+00
    0.52729E+00    0.12248E+01    0.21972E+01    0.13306E+00
    0.11767E+01    0.26832E+01    0.14146E+01    0.12195E+00
    0.19951E+01    0.38762E+00    0.24394E+01    0.11532E+00
    0.15211E+01    0.24937E+01    0.27460E+01    0.12018E+00
    0.19594E+01    0.27084E+01    0.11818E+01    0.11891E+00
    0.27634E+01    0.70186E+00    0.23380E+00    0.11198E+00
